U.S. Forest Service,,,,,
Forest Products Financial System,,,,,
Contracts - FPFS_12.1.S,,,,,
"On the July, 2020 Close",,,,,
Run Date: 08/14/2020 16:46:12 - For USFS Use Only,,,,,
"RegionCode","RegionName","ForestCode","ForestName","DistrictCode","DistrictName"
01,Northern,14,Kootenai,03,Fortine
01,Northern,14,Kootenai,03,Fortine
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,04,Three Rivers
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,05,Libby
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,14,Kootenai,07,Cabinet
01,Northern,15,Helena-Lewis & Clark,06,Judith-Musselshell
01,Northern,15,Helena-Lewis & Clark,06,Judith-Musselshell
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,07,Belt Creek-White Sulpher Springs 
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,12,Helena
01,Northern,15,Helena-Lewis & Clark,14,Lincoln
01,Northern,15,Helena-Lewis & Clark,14,Lincoln
01,Northern,15,Helena-Lewis & Clark,14,Lincoln
01,Northern,15,Helena-Lewis & Clark,14,Lincoln
01,Northern,15,Helena-Lewis & Clark,14,Lincoln
01,Northern,16,Lolo,03,Missoula
01,Northern,16,Lolo,03,Missoula
01,Northern,16,Lolo,03,Missoula
01,Northern,16,Lolo,04,Ninemile
01,Northern,16,Lolo,04,Ninemile
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,05,Plains-Thompson
01,Northern,16,Lolo,06,Seeley Lake
