Schema,Table,Column,Type,Primary Key,AutoIncrement,Is Transitional PK,Unique,Foreign Key,References,Required,Default,NotNull,Min,Max,Values,ErrorMessage,Description,Development Notes,Depreciated,DontTrackUpdates
,TreeCalculatedValues,TipwoodVolume,REAL,,,,,,,,,,,,,,,,,
,LCD,LCD_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,LCD,CutLeave,TEXT,,,,,,,X,,,,,,,,,,
,LCD,Stratum,TEXT,,,,,,,X,,,,,,,,,,
,LCD,SampleGroup,TEXT,,,,,,,X,,,,,,,,,,
,LCD,Species,TEXT,,,,,,,X,,,,,,,,,,
,LCD,PrimaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,LCD,SecondaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,LCD,UOM,TEXT,,,,,,,X,,,,,,,,,,
,LCD,LiveDead,TEXT,,,,,,,X,,,,,,,,,,
,LCD,Yield,TEXT,,,,,,,X,,,,,,,,,,
,LCD,ContractSpecies,TEXT,,,,,,,X,,,,,,,,,,
,LCD,TreeGrade,TEXT,,,,,,,X,,,,,,,,,,
,LCD,STM,TEXT,,,,,,,,,,,,,,,,,
,LCD,FirstStageTrees,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,MeasuredTrees,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,TalliedTrees,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumKPI,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumMeasuredKPI,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumExpanFactor,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumDBHOB,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumDBHOBsqrd,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumTotHgt,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumHgtUpStem,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumMerchHgtPrim,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumMerchHgtSecond,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumLogsMS,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumTotCubic,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGBDFT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumNBDFT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGCUFT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumNCUFT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGBDFTremv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGCUFTremv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumCords,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtMSP,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumValue,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGBDFTtop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumNBDFTtop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumGCUFTtop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumNCUFTtop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumCordsTop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtMSS,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumTopValue,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumLogsTop,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumBDFTrecv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumCUFTrecv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumCordsRecv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumValueRecv,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,BiomassProduct,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtBAT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtBBL,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtBBD,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtBFT,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumWgtTip,DOUBLE,,,,,,,,,,,,,,,,,
,LCD,SumTipwood,DOUBLE,,,,,,,,,,,,,,,,,
,POP,POP_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,POP,CutLeave,TEXT,,,,,,,X,,,,,,,,,,
,POP,Stratum,TEXT,,,,,,,X,,,,,,,,,,
,POP,SampleGroup,TEXT,,,,,,,X,,,,,,,,,,
,POP,PrimaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,POP,SecondaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,POP,STM,TEXT,,,,,,,,,,,,,,,,,
,POP,UOM,TEXT,,,,,,,X,,,,,,,,,,
,POP,FirstStageTrees,DOUBLE,,,,,,,,,,,,,,,,,
,POP,MeasuredTrees,DOUBLE,,,,,,,,,,,,,,,,,
,POP,TalliedTrees,DOUBLE,,,,,,,,,,,,,,,,,
,POP,SumKPI,DOUBLE,,,,,,,,,,,,,,,,,
,POP,SumMeasuredKPI,DOUBLE,,,,,,,,,,,,,,,,,
,POP,StageOneSamples,DOUBLE,,,,,,,,,,,,,,,,,
,POP,StageTwoSamples,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXsqrdPP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXsqrdSP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1GrossXsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1NetXRsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg1ValueXsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2GrossXsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2NetXsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXRP,DOUBLE,,,,,,,,,,,,,,,,,
,POP,Stg2ValueXsqrdRP,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,PRO_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,PRO,CutLeave,TEXT,,,,,,,X,,,,,,,,,,
,PRO,Stratum,TEXT,,,,,,,X,,,,,,,,,,
,PRO,CuttingUnit,TEXT,,,,,,,X,,,,,,,,,,
,PRO,SampleGroup,TEXT,,,,,,,X,,,,,,,,,,
,PRO,PrimaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,PRO,SecondaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,PRO,UOM,TEXT,,,,,,,X,,,,,,,,,,
,PRO,STM,TEXT,,,,,,,,,,,,,,,,,
,PRO,FirstStageTrees,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,MeasuredTrees,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,TalliedTrees,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,SumKPI,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,SumMeasuredKPI,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,ProrationFactor,DOUBLE,,,,,,,,,,,,,,,,,
,PRO,ProratedEstimatedTrees,DOUBLE,,,,,,,,,,,,,,,,,
,LogStock,LogStock_CN,INTEGER,X,X,,,,,,,,,,,,,create a surrogate key for this table since it is used as a foreign key.,,
,LogStock,Tree_CN,INTEGER,,,,X,X,Tree,X,,,,,,,,,,
,LogStock,LogNumber,TEXT,,,,X,,,X,,,,,,,,,,
,LogStock,Grade,TEXT,,,,,,,,,,,,,,,,,
,LogStock,SeenDefect,REAL,,,,,,,,,,,,,,,,,
,LogStock,PercentRecoverable,REAL,,,,,,,,,,,,,,,,,
,LogStock,Length,INTEGER,,,,,,,,,,,,,,,,,
,LogStock,ExportGrade,TEXT,,,,,,,,,,,,,,,,,
,LogStock,SmallEndDiameter,REAL,,,,,,,,,,,,,,,,,
,LogStock,LargeEndDiameter,REAL,,,,,,,,,,,,,,,,,
,LogStock,GrossBoardFoot,REAL,,,,,,,,,,,,,,,,,
,LogStock,NetBoardFoot,REAL,,,,,,,,,,,,,,,,,
,LogStock,GrossCubicFoot,REAL,,,,,,,,,,,,,,,,,
,LogStock,NetCubicFoot,REAL,,,,,,,,,,,,,,,,,
,LogStock,BoardFootRemoved,REAL,,,,,,,,,,,,,,,,,
,LogStock,CubicFootRemoved,REAL,,,,,,,,,,,,,,,,,
,LogStock,DIBClass,REAL,,,,,,,,,,,,,,,,,
,LogStock,BarkThickness,REAL,,,,,,,,,,,,,,,,,
,LogStock,BoardUtil,REAL,,,,,,,,,,,,,,,,,
,LogStock,CubicUtil,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,SampleGroupStats_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,SampleGroupStats,StratumStats_CN,INTEGER,,,,X,X,StratumStats,,,,,,,,,,,
,SampleGroupStats,Code,TEXT,,,,X,,,,,,,,,,,,,
,SampleGroupStats,SgSet,INTEGER,,,,X,,,,,,,,,,,,,
,SampleGroupStats,Description,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,CutLeave,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,UOM,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,PrimaryProduct,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,SecondaryProduct,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,DefaultLiveDead,TEXT,,,,,,,,,,,,,,,,,
,SampleGroupStats,SgError,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,SampleSize1,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,SampleSize2,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,CV1,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,CV2,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,TreesPerAcre,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,VolumePerAcre,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,TreesPerPlot,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,AverageHeight,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,SamplingFrequency,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,InsuranceFrequency,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,KZ,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,BigBAF,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,BigFIX,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,MinDbh,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,MaxDbh,REAL,,,,,,,,,,,,,,,,,
,SampleGroupStats,CV_Def,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,CV2_Def,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,TPA_Def,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,VPA_Def,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,ReconPlots,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStats,ReconTrees,INTEGER,,,,,,,,,,,,,,,,,
,StratumStats,StratumStats_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,StratumStats,Stratum_CN,INTEGER,,,,,X,Stratum,,,,,,,,,,,
,StratumStats,Code,TEXT,,,,X,,,,,,,,,,,,,
,StratumStats,Description,TEXT,,,,,,,,,,,,,,,,,
,StratumStats,Method,TEXT,,,,X,,,,,,,,,,,,,
,StratumStats,SgSet,INTEGER,,,,X,,,,,,,,,,,,,
,StratumStats,SgSetDescription,TEXT,,,,,,,,,,,,,,,,,
,StratumStats,BasalAreaFactor,REAL,,,,,,,,,,,,,,,,,
,StratumStats,FixedPlotSize,REAL,,,,,,,,,,,,,,,,,
,StratumStats,StrError,REAL,,,,,,,,,,,,,,,,,
,StratumStats,SampleSize1,INTEGER,,,,,,,,,,,,,,,,,
,StratumStats,SampleSize2,INTEGER,,,,,,,,,,,,,,,,,
,StratumStats,WeightedCV1,REAL,,,,,,,,,,,,,,,,,
,StratumStats,WeightedCV2,REAL,,,,,,,,,,,,,,,,,
,StratumStats,TreesPerAcre,REAL,,,,,,,,,,,,,,,,,
,StratumStats,VolumePerAcre,REAL,,,,,,,,,,,,,,,,,
,StratumStats,TotalVolume,REAL,,,,,,,,,,,,,,,,,
,StratumStats,TotalAcres,REAL,,,,,,,,,,,,,,,,,
,StratumStats,PlotSpacing,INTEGER,,,,,,,,,,,,,,,,,
,StratumStats,Used,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroupStatsTreeDefaultValue,TreeDefaultValue_CN,INTEGER,,,,X,X,TreeDefaultValue,,,,,,,,,This is the map table?,,
,SampleGroupStatsTreeDefaultValue,SampleGroupStats_CN,INTEGER,,,,X,X,SampleGroupStats,,,,,,,,,,,
,LogFieldSetupDefault,LogFieldSetupDefault_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,LogFieldSetupDefault,Field,TEXT,,,,X,,,X,,,,,,,,,,
,LogFieldSetupDefault,FieldName,TEXT,,,,,,,,,,,,,,,,,
,LogFieldSetupDefault,FieldOrder,INTEGER,,,,,,,,,,0,,,,,,,
,LogFieldSetupDefault,ColumnType,TEXT,,,,,,,,,,,,,,,,,
,LogFieldSetupDefault,Heading,TEXT,,,,,,,,,,,,,,,,,
,LogFieldSetupDefault,Width,REAL,,,,,,,,,,0,,,,,,,
,LogFieldSetupDefault,Format,TEXT,,,,,,,,,,,,,,,,,
,LogFieldSetupDefault,Behavior,TEXT,,,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,TreeFieldSetupDefault_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,Method,TEXT,,,,X,,,X,,,,,,,,Template Table,,
,TreeFieldSetupDefault,Field,TEXT,,,,X,,,X,,,,,,,,,,
,TreeFieldSetupDefault,FieldName,TEXT,,,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,FieldOrder,INTEGER,,,,,,,,,,0,,,,,,,
,TreeFieldSetupDefault,ColumnType,TEXT,,,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,Heading,TEXT,,,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,Width,REAL,,,,,,,,,,0,,,,,,,
,TreeFieldSetupDefault,Format,TEXT,,,,,,,,,,,,,,,,,
,TreeFieldSetupDefault,Behavior,TEXT,,,,,,,,,,,,,,,,,
,CruiseMethods,CruiseMethods_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,CruiseMethods,Code,TEXT,,,,X,,,,,,,,,,,,,
,CruiseMethods,FriendlyValue,TEXT,,,,,,,,,,,,,,,,,
,LoggingMethods,LoggingMethods_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,LoggingMethods,Code,TEXT,,,,X,,,,,,,,,,,,,
,LoggingMethods,FriendlyValue,TEXT,,,,,,,,,,,,,,,,,
,ProductCodes,ProductCodes_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,ProductCodes,Code,TEXT,,,,X,,,,,,,,,,,,,
,ProductCodes,FriendlyValue,TEXT,,,,,,,,,,,,,,,,,
,UOMCodes,UOMCodes_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,UOMCodes,Code,TEXT,,,,X,,,,,,,,,,,,,
,UOMCodes,FriendlyValue,TEXT,,,,,,,,,,,,,,,,,
,Regions,Region_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,Regions,Number,INTEGER,,,,X,,,,,,,,,,,,,
,Regions,Name,TEXT,,,,,,,,,,,,,,,,,
,Forests,Forest_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,Forests,Region_CN,INTEGER,,,,,X,Regions,,,,,,,,,,,
,Forests,State,TEXT,,,,,,,,,,,,,,,,,
,Forests,Name,TEXT,,,,,,,,,,,,,,,,,
,Forests,Number,INTEGER,,,,,,,,,,,,,,,,,
,LogMatrix,ReportNumber,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,GradeDescription,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogSortDescription,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,Species,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade1,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade2,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade3,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade4,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade5,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,LogGrade6,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,SEDlimit,TEXT,,,,,,,,,,,,,,,,,
,LogMatrix,SEDminimum,DOUBLE,,,,,,,,,,,,,,,,,
,LogMatrix,SEDmaximum,DOUBLE,,,,,,,,,,,,,,,,,
